mission,id,orbital_period_days,transit_duration_hours,transit_depth_ppm,stellar_radius_solar,stellar_teff_K,snr
tess,TOI-1001,0.856,0.95,2100,1.15,6200,25.3
tess,TOI-1002,1.234,1.05,1200,1.10,6100,9.8
tess,TOI-1003,2.345,1.80,1450,0.95,6000,22.1
tess,TOI-1004,3.456,2.15,1100,0.93,5700,19.4
tess,TOI-1005,3.701,2.10,850,0.92,5700,12.4
tess,TOI-1006,5.678,2.85,780,0.88,5400,16.8
tess,TOI-1007,7.890,2.75,890,1.02,5900,11.6
tess,TOI-1008,8.456,3.20,980,1.05,5800,18.7
tess,TOI-1009,12.345,4.50,780,0.88,5400,16.8
tess,TOI-1010,15.678,4.25,650,0.85,5200,15.2
tess,TOI-1011,25.123,5.80,520,0.78,5000,13.7
tess,TOI-1012,35.456,6.20,480,0.75,4800,11.2
tess,TOI-1013,45.123,6.80,420,0.75,4800,8.9
tess,TOI-1014,67.890,8.50,380,0.72,4600,7.4
tess,TOI-1015,89.123,9.20,350,0.70,4500,6.8
kepler,KOI-2001,0.987,1.20,1800,1.08,6050,28.5
kepler,KOI-2002,2.567,2.10,1350,0.97,5950,24.2
kepler,KOI-2003,4.321,2.65,950,0.89,5550,20.1
kepler,KOI-2004,6.789,3.10,820,0.86,5300,17.6
kepler,KOI-2005,9.876,3.85,710,0.82,5100,14.9
kepler,KOI-2006,18.765,5.20,590,0.79,4900,12.3
kepler,KOI-2007,28.543,6.50,480,0.76,4700,10.7
kepler,KOI-2008,38.765,7.20,420,0.74,4600,9.1
kepler,KOI-2009,58.432,8.80,380,0.71,4400,7.8
kepler,KOI-2010,78.901,9.50,350,0.69,4300,6.5
tess,TOI-1016,1.567,1.35,1650,1.12,6150,23.8
tess,TOI-1017,2.789,2.25,1250,0.98,5850,21.4
tess,TOI-1018,4.567,2.90,900,0.87,5450,18.2
tess,TOI-1019,7.234,3.45,750,0.84,5250,15.7
tess,TOI-1020,11.567,4.60,620,0.81,4950,13.1
